date,BAC,C,GS,JPM,MS,WFC
2014-02-28,,,,,,
2014-03-03,-0.013914091663210337,-0.020973302158664553,-0.010273589239140679,-0.010735548261906591,-0.017532685935923498,-0.0058164578867035965
2014-03-04,0.026380646306118027,0.025623594856619913,0.024219890080960482,0.018679859435474677,0.02775896102382558,0.012785417861516768
2014-03-05,0.031696025510498105,0.012082327916719038,0.0187876230036208,0.015718271347836987,0.027976612331679584,0.007487858195594166
2014-03-06,0.005796885570471755,0.005868454169555948,0.0040722172247873445,0.01272239242799511,-0.004067633016770267,0.0053090698450724005
2014-03-07,-0.0011477584770601679,-0.0018106922333858133,0.009617788752361633,0.008490309070432023,0.011619334406313353,0.012886402867334557
2014-03-10,0.008074430558043577,-0.0010082385667238292,-0.00430404342880597,-0.00336753223866193,-0.002483987518476005,0.004170111628826412
2014-03-11,-0.011447761925773237,-0.02299738404223073,-0.020863381725516827,-0.017061769872723787,-0.013380392802507912,-0.007062150283134172
2014-03-12,0.0005765368115653313,-0.009290562675262848,-0.0010009467392961824,-0.004640121702981448,-0.008204557701333215,0.006483820667480655
2014-03-13,-0.006939238294682348,-0.013548486652117386,-0.01779343937510658,-0.008632002451692933,0.0,-0.005817542460613834
2014-03-14,-0.020981900537181408,-0.009506485148072286,-0.008098494965982583,-0.0107977536550663,-0.010813747655852968,-0.00919776277165063
2014-03-17,0.018455499050459512,0.018130541705209557,0.00901106274067387,0.013732163712231404,0.008681785967399103,0.015401196787109495
2014-03-18,0.004674183738596183,0.00858916913749308,0.0074922208757803865,0.008337153787782992,0.008926752151765305,0.005609801783801771
2014-03-19,0.014542759449679421,0.01661898923852334,0.0005351378521478711,0.0041331303023710575,0.005055868742404934,-0.01219104477611943
2014-03-20,0.027520626657499214,0.026154836980717855,0.006183903640111232,0.031047511983387288,0.03080622083334772,0.025519467175959987
2014-03-21,-0.02008615178726114,-0.0027884955603107997,-0.013414409574235786,0.000997569489138428,-0.005794276303628165,0.0018340362233941754
